OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
42478,2019,CA,CDF,LNU,KINCADE,00019376,2019/10/23 00:00:00+00,2019/11/10 00:00:00+00,11,,,77762.141,1,1,,1.92448238717268,0.0325772642382153
42566,2019,CA,CDF,TGU,RED BANK,00009386,2019/09/05 00:00:00+00,2019/09/15 00:00:00+00,1,,8822,8822.0244,7,1,,0.472205944575326,0.00377393504883564
42617,2019,CA,CDF,MMU,BRICEBURG,00021257,2019/10/06 00:00:00+00,2019/10/20 00:00:00+00,10,IR Heat Perimeter with some corrections from GPS,5563,5508.3501,7,1,,0.258796269653509,0.00227456878803306
42689,2019,CA,USF,INF,TABOOSE,00002018,2019/09/04 00:00:00+00,2019/11/23 00:00:00+00,1,,10265,10267.632,1,1,,0.794967292746474,0.00420752938149256
42691,2019,CA,USF,INF,SPRINGS,00001465,2019/07/26 00:00:00+00,2019/12/18 00:00:00+00,1,,4840,6614.6343,1,1,,0.248188359617868,0.00273969298471357
42710,2019,CA,USF,MDF,LONE,00000836,2019/09/05 00:00:00+00,2019/12/02 00:00:00+00,1,,5737,5737.1597,1,1,,0.281867606924545,0.00251389295939966
42711,2019,CA,USF,MDF,TUCKER,00000509,2019/07/28 00:00:00+00,2019/09/17 00:00:00+00,9,,14217,14184.661,1,1,,0.552059832509741,0.00621886174878245
42734,2019,CA,USF,SHF,SOUTH,00001209,2019/09/05 00:00:00+00,2019/12/02 00:00:00+00,1,,5532,5333.9907,3,1,,0.792788025934902,0.00228040935935604
42745,2019,CA,USF,PNF,WALKER,00001324,2019/09/04 00:00:00+00,2020/01/15 00:00:00+00,9,,54628,54614.902,1,1,,2.17679308417332,0.0233391465970675
42764,2019,CA,LRA,LDF,SADDLE RIDGE,00001582,2019/10/10 00:00:00+00,2019/10/31 00:00:00+00,14,"shape from GEOMAC, dat from CAL FIRE web",8799,8799.3252,7,1,,0.71007164634564,0.00348797051696366
42788,2018,CA,CCO,LAC,WOOLSEY,00338981,2018/11/08 00:00:00+00,2018/11/20 00:00:00+00,11,VNC INC# 00091023    18-0091023 VNC end date 1/4/2019,96949,89551.383,7,1,,5.44441010599976,0.0354132014185824
42838,2021,CA,CDF,SHU,FAWN,00010480,2021/09/22 06:59:59+00,2021/09/29 06:59:59+00,7,Auto-generated by EGP-IRWIN,8595,8576.4932,3,1,,0.483927592891262,0.00369917851126747
42928,2021,CA,NPS,KNP,KNP Complex,00000122,2021/09/10 00:00:00+00,2021/12/16 00:00:00+00,1,Includes Paradise (INC #00000116) and Colony (INC #00000118),88307,88257.125,7,1,,3.97060651056536,0.035958729893701
42930,2021,CA,CDF,MVU,SOUTHERN,00007992,2021/05/02 06:59:59+00,2022/05/06 06:59:59+00,2,Power tools,5365,5365.9019,7,1,,0.46271203322717,0.00209473295421026
43072,2021,CA,USF,SHF,LAVA,00000949,2021/06/25 03:35:00+00,2021/10/26 23:45:00+00,1,A7F01FAF-7092-49EF-9D1E-154FBCA30808,26329,26328.9,7,1,,1.23343788063269,0.0114863302212782
43075,2021,CA,USF,KNF,TENNANT,00005169,2021/06/28 23:07:00+00,2022/01/03 17:22:00+00,14,5C2D3644-5266-4028-A593-F66AA0791D54,10580,10591.031,3,1,,0.746710288794211,0.00463724119896721
43076,2021,CA,USF,SHF,SALT,00000982,2021/06/30 20:31:00+00,2021/10/26 23:55:00+00,2,403B847B-B915-478A-87F0-1D8013C54B18,12660,12599.142,4,1,,0.636311579425792,0.00544967244732243
43079,2021,CA,USF,PNF,SUGAR,00001046,2021/07/02 23:04:15+00,2021/10/28 00:59:59+00,14,"33088F36-F802-4500-86A4-82DA6A62425F, Beckwourth ",105076,105003.91,7,1,,2.31351710126317,0.0447756987313568
43091,2021,CA,USF,SHF,MCFARLAND,00001175,2021/07/30 01:44:00+00,2021/10/26 23:45:00+00,1,938686BB-0F52-47B2-B077-EB307941D939,122653,122447.73,3,1,,2.21211962730525,0.0524686793737937
43096,2021,CA,USF,KNF,ANTELOPE,00006454,2021/08/01 17:38:45+00,2022/01/03 17:22:00+00,1,"4098977E-B34D-40C3-8F34-2B913217503A, includes Baird perimeter INC NUM 00006530",145632,145631.75,7,1,,3.94664188938983,0.063673291051183
43102,2021,CA,USF,ENF,CALDOR,00024030,2021/08/15 01:54:24+00,2021/11/18 01:01:00+00,14,E6C053C8-A346-43FB-9C29-632BC7536717,221835,221786.39,7,1,,3.83301676255039,0.0929507518913447
43103,2021,CA,USF,SQF,WALKERS,00002758,2021/08/15 18:23:00+00,2021/12/08 18:30:00+00,1,751BAEA9-D0BC-43AF-AE3E-34CBFB059110,8778,8778.7842,7,1,,0.678186565660764,0.0035647807858513
43113,2021,CA,USF,SHF,MONUMENT,00001187,2021/07/31 01:10:00+00,2021/11/03 03:30:00+00,1,9CF3A69A-A888-4BCD-AA7A-703D75D47E78,223124,223107.89,7,1,,4.24534091155369,0.09624958443913
43114,2021,CA,USF,SRF,MCCASH,00000651,2021/08/01 02:11:00+00,2021/10/27 00:00:00+00,1,D294B9CA-4CE7-46C5-874B-E12EBE925E1F,94962,94970.469,7,1,,3.30910158586926,0.0414841488887254
43115,2021,CA,USF,LPF,ALISAL,00002759,2021/10/11 21:10:00+00,2021/12/01 21:59:59+00,1,B6304F5D-0658-49A8-BE97-64D4B17E7833,16970,16953.238,7,1,,1.05950361365281,0.00673370964366498
43125,2020,CA,CDF,RRU,APPLE,00096640,2020/07/31 16:59:00+00,2020/11/15 00:00:00+00,2,92EB6A48-F988-48C5-BE65-EB3140DC6E27,33424,33235.797,1,1,,1.26368849645197,0.0131289321109085
43131,2021,CA,BLM,CND,FRENCH,00002796,2021/08/18 00:00:00+00,2021/10/19 00:00:00+00,14,{7E9BE942-1E0A-4350-9650-F71A3D17EB10},26534,26535.057,7,1,,1.46805427325066,0.0106927209266398
43153,2021,CA,BIA,TIA,WINDY,00003058,2021/09/10 00:46:59+00,2021/11/11 15:00:00+00,1,,97528,97528.266,7,1,,2.65995836531584,0.0394412154301235
43156,2021,CA,CDF,MMU,RIVER,00014714,2021/07/11 21:11:29+00,2021/07/19 00:00:00+00,14,,9656,9655.1885,8,1,,0.574142045435201,0.00397253418217306
43182,2021,CA,CDF,BTU,DIXIE,00009205,2021/07/14 00:15:02+00,2021/10/25 00:00:00+00,11,"E9DB628D-DFB7-4C85-BCD6-1254574D946B, contains Evans -INC #00001358- and Fly -INC #00001273-",963309,963405.44,7,1,,15.9519879577713,0.412449059669162
43183,2021,CA,USF,KNF,RIVER COMPLEX,00006385,2021/07/31 21:20:00+00,2021/10/25 00:00:00+00,1,"includes Haypress -INC #00006414-, Summer -INC #00006376-, and Cronan -INC #00006381-",155752,199354.09,7,1,,12.7589745906535,0.08649692712992
